user_id,checkout_date,item_id
2fdb3958-ffc9-4b84-a49d-5f9f40e9469e,2017-12-20,26
2fdb3958-ffc9-4b84-a49d-5f9f40e9469e,2017-12-20,24
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,7
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,6
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,12
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,26
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,2
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,12
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,17
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,26
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,2
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,27
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,7
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,16
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,22
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,32
bb246075-ce55-44df-aedd-32a15be914a6,2017-12-20,27
bb246075-ce55-44df-aedd-32a15be914a6,2017-12-20,9
bb246075-ce55-44df-aedd-32a15be914a6,2017-12-20,4
bb246075-ce55-44df-aedd-32a15be914a6,2017-12-20,14
c7de0c37-4809-4944-bebb-e1ab7a13747b,2017-12-20,20
c7de0c37-4809-4944-bebb-e1ab7a13747b,2017-12-20,18
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,2017-12-20,4
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,2017-12-20,18
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,2017-12-20,17
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,2017-12-20,19
175ca7ed-f9ef-4299-b7b5-3da5efc702a8,2017-12-20,23
17ec81d5-287d-41ea-9dcb-217d3af3b8f8,2017-12-20,10
022c0ce1-7432-40f5-8e79-e70acb004709,2017-12-20,5
022c0ce1-7432-40f5-8e79-e70acb004709,2017-12-20,25
022c0ce1-7432-40f5-8e79-e70acb004709,2017-12-20,10
b29b3db2-12d7-45b5-ab10-54691adefea7,2017-12-20,22
b29b3db2-12d7-45b5-ab10-54691adefea7,2017-12-20,31
aebb990e-6035-45ce-9c61-a463623eabcd,2017-12-20,30
aebb990e-6035-45ce-9c61-a463623eabcd,2017-12-20,14
ca8516f7-6970-4d29-b32d-2928248ecd44,2017-12-20,0
ca8516f7-6970-4d29-b32d-2928248ecd44,2017-12-20,1
ca8516f7-6970-4d29-b32d-2928248ecd44,2017-12-20,2
9e749aed-8223-4572-8bb7-e8df654eac16,2017-12-20,22
3cc320ca-6888-464f-bd15-ec81c6353e79,2017-12-20,21
5f8c0b7d-03a6-4bf1-8817-c15d1863551f,2017-12-20,14
5f8c0b7d-03a6-4bf1-8817-c15d1863551f,2017-12-20,22
b083e439-1650-43c7-91b3-15e2fbd2c1f5,2017-12-20,5
b083e439-1650-43c7-91b3-15e2fbd2c1f5,2017-12-20,24
3f28469b-e5bb-4397-b7f8-791e336676aa,2017-12-20,29
3f28469b-e5bb-4397-b7f8-791e336676aa,2017-12-20,19
2613ecba-d597-4f20-9d01-1915a75e4cf8,2017-12-20,23
2613ecba-d597-4f20-9d01-1915a75e4cf8,2017-12-20,10
2613ecba-d597-4f20-9d01-1915a75e4cf8,2017-12-20,16
2613ecba-d597-4f20-9d01-1915a75e4cf8,2017-12-20,13
8f00ad28-c8d7-4f5d-8f43-528e5e95a2f5,2017-12-20,29
2d750d82-fd55-488f-a2f7-6fcc54ed666d,2017-12-20,26
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,2017-12-21,3
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,2017-12-21,14
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,2017-12-21,22
e5cc68dc-5c33-47d5-8c7d-e24adaa61b6a,2017-12-21,24
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,2017-12-21,29
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,2017-12-21,11
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,2017-12-21,2
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,2017-12-21,0
6cd159af-5e3d-48e1-a6da-875d4a0c7ec7,2017-12-21,25
9d8d2721-820c-4ff1-a96a-fb3c65e9587b,2017-12-21,21
23b5244a-e2e5-4559-91f6-e04372d52723,2017-12-21,9
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,2017-12-21,13
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,2017-12-21,6
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,2017-12-21,5
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,2017-12-21,19
f7608e0e-f1b1-4a44-bf7a-1421a5dfbc0c,2017-12-21,28
ef591a51-0b40-4a62-bb69-ae5bda94a06c,2017-12-21,4
ef591a51-0b40-4a62-bb69-ae5bda94a06c,2017-12-21,26
ef591a51-0b40-4a62-bb69-ae5bda94a06c,2017-12-21,30
ef591a51-0b40-4a62-bb69-ae5bda94a06c,2017-12-21,2
ef591a51-0b40-4a62-bb69-ae5bda94a06c,2017-12-21,27
1fe02ce7-c174-45df-8eaa-52952f3c2f31,2017-12-21,16
1fe02ce7-c174-45df-8eaa-52952f3c2f31,2017-12-21,27
1fe02ce7-c174-45df-8eaa-52952f3c2f31,2017-12-21,12
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,2017-12-21,10
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,2017-12-21,4
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,2017-12-21,9
ce2eb6ae-27eb-48ca-8efe-b10fd6b55db8,2017-12-21,25
da0c8bd1-d2c3-4788-93b8-676640eba551,2017-12-21,17
da0c8bd1-d2c3-4788-93b8-676640eba551,2017-12-21,24
da0c8bd1-d2c3-4788-93b8-676640eba551,2017-12-21,27
da0c8bd1-d2c3-4788-93b8-676640eba551,2017-12-21,7
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,2017-12-21,19
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,2017-12-21,2
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,2017-12-21,15
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,2017-12-21,28
0ae74a0e-a91c-4db9-8ee2-8d945fa93cde,2017-12-21,11
92d1e7c3-2fef-4168-8cdb-e19c13c0a7e4,2017-12-21,3
92d1e7c3-2fef-4168-8cdb-e19c13c0a7e4,2017-12-21,29
bdf0c7cc-e458-4032-94f3-45bff3aad658,2017-12-21,17
bdf0c7cc-e458-4032-94f3-45bff3aad658,2017-12-21,11
bdf0c7cc-e458-4032-94f3-45bff3aad658,2017-12-21,29
bdf0c7cc-e458-4032-94f3-45bff3aad658,2017-12-21,12
bdf0c7cc-e458-4032-94f3-45bff3aad658,2017-12-21,19
1ad079f9-8cbd-4de4-977b-39a79251e312,2017-12-21,19
1ad079f9-8cbd-4de4-977b-39a79251e312,2017-12-21,15
1ad079f9-8cbd-4de4-977b-39a79251e312,2017-12-21,18
1ad079f9-8cbd-4de4-977b-39a79251e312,2017-12-21,3
1cb3d210-f82b-4ea0-82ab-86072b309357,2017-12-21,22
1cb3d210-f82b-4ea0-82ab-86072b309357,2017-12-21,23
1cb3d210-f82b-4ea0-82ab-86072b309357,2017-12-21,13
1cb3d210-f82b-4ea0-82ab-86072b309357,2017-12-21,14
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,2017-12-21,18
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,2017-12-21,27
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,2017-12-21,3
bdbb7b5f-47d5-42fe-a1b5-6b9ea2b2831d,2017-12-21,11
76396716-389e-435c-b84b-c2c818bbfdbc,2017-12-21,27
76396716-389e-435c-b84b-c2c818bbfdbc,2017-12-21,5
76396716-389e-435c-b84b-c2c818bbfdbc,2017-12-21,4
c0a7fbd1-e278-48f5-9726-1d7c25389915,2017-12-21,18
d820ac9b-76a9-45c1-8db4-e2762ab2f5c8,2017-12-21,18
d820ac9b-76a9-45c1-8db4-e2762ab2f5c8,2017-12-21,30
d820ac9b-76a9-45c1-8db4-e2762ab2f5c8,2017-12-21,11
d820ac9b-76a9-45c1-8db4-e2762ab2f5c8,2017-12-21,29
d820ac9b-76a9-45c1-8db4-e2762ab2f5c8,2017-12-21,20
4cce0454-4ac8-43ed-9752-2fbdc5a5b81c,2017-12-21,17
4cce0454-4ac8-43ed-9752-2fbdc5a5b81c,2017-12-21,3
4cce0454-4ac8-43ed-9752-2fbdc5a5b81c,2017-12-21,18
4cce0454-4ac8-43ed-9752-2fbdc5a5b81c,2017-12-21,6
24d1d603-da3a-46b3-9c8e-1e7710dfee70,2017-12-21,27
24d1d603-da3a-46b3-9c8e-1e7710dfee70,2017-12-21,2
d9982e11-2013-42a2-bcf3-8c1797448847,2017-12-21,31
