user_id,browse_date,item_id
336f9fdc-aaeb-48a1-a773-e3a935442d45,2017-12-20,3
336f9fdc-aaeb-48a1-a773-e3a935442d45,2017-12-20,22
336f9fdc-aaeb-48a1-a773-e3a935442d45,2017-12-20,25
336f9fdc-aaeb-48a1-a773-e3a935442d45,2017-12-20,24
4596bb1a-7aa9-4ac9-9896-022d871cdcde,2017-12-20,0
4596bb1a-7aa9-4ac9-9896-022d871cdcde,2017-12-20,2
2fdb3958-ffc9-4b84-a49d-5f9f40e9469e,2017-12-20,26
2fdb3958-ffc9-4b84-a49d-5f9f40e9469e,2017-12-20,24
fc394c75-36f1-4df1-8665-23c32a43591b,2017-12-20,12
fc394c75-36f1-4df1-8665-23c32a43591b,2017-12-20,24
fc394c75-36f1-4df1-8665-23c32a43591b,2017-12-20,31
263e59f2-479b-4736-872c-302ad082b20f,2017-12-20,11
263e59f2-479b-4736-872c-302ad082b20f,2017-12-20,30
263e59f2-479b-4736-872c-302ad082b20f,2017-12-20,21
263e59f2-479b-4736-872c-302ad082b20f,2017-12-20,32
263e59f2-479b-4736-872c-302ad082b20f,2017-12-20,18
58ff3291-84bf-4fc7-96cc-0bc1477adea9,2017-12-20,29
58ff3291-84bf-4fc7-96cc-0bc1477adea9,2017-12-20,22
58ff3291-84bf-4fc7-96cc-0bc1477adea9,2017-12-20,31
58ff3291-84bf-4fc7-96cc-0bc1477adea9,2017-12-20,20
d582b899-cace-43dc-84f3-a1df0c30e90c,2017-12-20,18
d582b899-cace-43dc-84f3-a1df0c30e90c,2017-12-20,14
d582b899-cace-43dc-84f3-a1df0c30e90c,2017-12-20,8
3215212f-7a6f-4d95-937a-ee0ce911db04,2017-12-20,31
3215212f-7a6f-4d95-937a-ee0ce911db04,2017-12-20,25
3215212f-7a6f-4d95-937a-ee0ce911db04,2017-12-20,15
d0768167-da9c-4209-b3e6-5c6fc446bece,2017-12-20,17
d0768167-da9c-4209-b3e6-5c6fc446bece,2017-12-20,11
d0768167-da9c-4209-b3e6-5c6fc446bece,2017-12-20,20
182fcdb3-babd-4ade-ae6d-c3d6f30ffcde,2017-12-20,19
97b8378f-8b66-4f54-9269-0e27c84ab311,2017-12-20,15
97b8378f-8b66-4f54-9269-0e27c84ab311,2017-12-20,16
97b8378f-8b66-4f54-9269-0e27c84ab311,2017-12-20,17
fb65f3ad-ed9e-4a70-8fa4-ebd609fe7383,2017-12-20,10
fb65f3ad-ed9e-4a70-8fa4-ebd609fe7383,2017-12-20,15
fb65f3ad-ed9e-4a70-8fa4-ebd609fe7383,2017-12-20,16
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,7
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,6
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,12
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,26
3a3e5fe6-39a7-4068-8009-3b9f649cb1aa,2017-12-20,2
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,12
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,17
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,26
b1bf3547-0c44-4371-907f-31bc75b9c593,2017-12-20,2
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,27
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,7
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,16
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,22
313624e5-5331-4a05-ad3a-96786c3162a9,2017-12-20,32
e2ca4439-a294-4f04-bace-dff782021560,2017-12-20,19
e2ca4439-a294-4f04-bace-dff782021560,2017-12-20,18
e2ca4439-a294-4f04-bace-dff782021560,2017-12-20,7
2e976863-8aaf-4d6c-8ed9-c25504d72bb1,2017-12-20,6
2e976863-8aaf-4d6c-8ed9-c25504d72bb1,2017-12-20,28
2e976863-8aaf-4d6c-8ed9-c25504d72bb1,2017-12-20,14
2e976863-8aaf-4d6c-8ed9-c25504d72bb1,2017-12-20,24
2e976863-8aaf-4d6c-8ed9-c25504d72bb1,2017-12-20,7
b8073de8-84db-4576-8840-40805497e3b8,2017-12-20,21
b8073de8-84db-4576-8840-40805497e3b8,2017-12-20,28
bb246075-ce55-44df-aedd-32a15be914a6,2017-12-20,27
