student_id,class_id,chapter_number,book,EOC,n_possible,n_correct,n_attempt
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,1,College / Statistics and Data Science (ABC),0.9210526315789473,38,35,40
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,2,College / Statistics and Data Science (ABC),0.8390804597701149,87,73,127
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,3,College / Statistics and Data Science (ABC),0.7692307692307693,104,80,145
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,4,College / Statistics and Data Science (ABC),0.7435897435897436,118,87,217
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,5,College / Statistics and Data Science (ABC),0.7777777777777778,63,49,90
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,6,College / Statistics and Data Science (ABC),0.6979166666666666,96,67,120
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,7,College / Statistics and Data Science (ABC),0.7142857142857143,63,45,68
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,8,College / Statistics and Data Science (ABC),0.7162162162162162,74,53,88
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,9,College / Statistics and Data Science (ABC),0.696969696969697,99,69,124
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,10,College / Statistics and Data Science (ABC),0.7142857142857143,63,45,78
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,11,College / Statistics and Data Science (ABC),0.6385542168674698,83,53,107
001824fb-a2fd-431d-aef6-7a1250d97a62,074123e7-cd90-4500-86fe-286aaa733bf5,12,College / Statistics and Data Science (ABC),0.6835443037974683,79,54,98
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,1,College / Advanced Statistics and Data Science (ABCD),0.6363636363636364,55,35,141
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,2,College / Advanced Statistics and Data Science (ABCD),0.580952380952381,105,61,210
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,3,College / Advanced Statistics and Data Science (ABCD),0.7652173913043478,115,88,190
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,4,College / Advanced Statistics and Data Science (ABCD),0.5833333333333334,133,77,254
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,5,College / Advanced Statistics and Data Science (ABCD),0.4266666666666667,75,32,150
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,6,College / Advanced Statistics and Data Science (ABCD),0.5307692307692308,130,69,283
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,7,College / Advanced Statistics and Data Science (ABCD),0.6417910447761194,67,43,79
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,8,College / Advanced Statistics and Data Science (ABCD),0.5733333333333334,75,43,90
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,9,College / Advanced Statistics and Data Science (ABCD),0.6071428571428571,112,68,170
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,10,College / Advanced Statistics and Data Science (ABCD),0.4444444444444444,63,28,75
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,11,College / Advanced Statistics and Data Science (ABCD),0.4578313253012048,83,38,112
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,12,College / Advanced Statistics and Data Science (ABCD),0.5974025974025974,77,46,92
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,13,College / Advanced Statistics and Data Science (ABCD),0.8225806451612904,62,51,74
0096491a-77bf-4e79-b906-fc7a8e5e57a6,b7489f46-1d28-4c69-9901-3fb8bf9b85a6,14,College / Advanced Statistics and Data Science (ABCD),0.5818181818181818,55,32,74
00a53a52-aa0e-4ddc-afa8-2c50c21dfd03,65246c1e-a176-4760-acb5-a320a9b7b2fe,1,College / Statistics and Data Science (ABC),0.24324324324324326,222,54,4384
